Subject_ID,Llama-3.3-70B,Llama-3.1-8B,Gemma-2-27B,Gemma-2-9B,Qwen2.5-72B,Qwen2.5-7B,DeepSeek-R1-Llama-70B,DeepSeek-R1-Qwen-32B,DeepSeek-R1-Llama-8B,Mistral-Nemo,Mistral-Large-2411,Phi-4
Block_1,0.5124378109452736,0.4079601990049751,0.4552238805970149,0.41044776119402987,0.5497512437810945,0.43283582089552236,0.5174129353233831,0.5223880597014925,0.23134328358208955,0.3582089552238806,0.5696517412935324,0.5248756218905473
Block_2,0.5248756218905473,0.3582089552238806,0.43781094527363185,0.3805970149253731,0.5671641791044776,0.44029850746268656,0.4527363184079602,0.47512437810945274,0.19402985074626866,0.3358208955223881,0.5447761194029851,0.5447761194029851
Block_3,0.5211970074812967,0.42144638403990026,0.4513715710723192,0.3516209476309227,0.57356608478803,0.4339152119700748,0.5037406483790524,0.4713216957605985,0.19451371571072318,0.36159600997506236,0.5386533665835411,0.5461346633416458
Block_4,0.49875311720698257,0.3690773067331671,0.4463840399002494,0.3765586034912718,0.5660847880299252,0.4339152119700748,0.4688279301745636,0.4763092269326683,0.19201995012468828,0.3516209476309227,0.513715710723192,0.5561097256857855
Block_5,0.543640897755611,0.35910224438902744,0.4239401496259352,0.3640897755610973,0.5910224438902744,0.3865336658354115,0.4613466334164589,0.47381546134663344,0.1970074812967581,0.38902743142144636,0.5561097256857855,0.571072319201995
Block_6,0.5261845386533666,0.3765586034912718,0.44389027431421446,0.4139650872817955,0.5685785536159601,0.428927680798005,0.46384039900249374,0.47381546134663344,0.22942643391521197,0.4089775561097257,0.5536159600997507,0.5286783042394015
Block_7,0.5112219451371571,0.3765586034912718,0.4613466334164589,0.38902743142144636,0.5610972568578554,0.42643391521197005,0.4688279301745636,0.4613466334164589,0.1970074812967581,0.3740648379052369,0.5486284289276808,0.5361596009975063
Block_8,0.5087281795511222,0.35910224438902744,0.456359102244389,0.3865336658354115,0.543640897755611,0.39650872817955113,0.4513715710723192,0.4613466334164589,0.2169576059850374,0.3491271820448878,0.5361596009975063,0.5461346633416458
Block_9,0.5586034912718204,0.4014962593516209,0.4613466334164589,0.3865336658354115,0.571072319201995,0.45885286783042395,0.4513715710723192,0.4713216957605985,0.18703241895261846,0.3491271820448878,0.5860349127182045,0.5261845386533666
Block_10,0.516209476309227,0.3865336658354115,0.42643391521197005,0.4139650872817955,0.5411471321695761,0.40648379052369077,0.516209476309227,0.4713216957605985,0.2119700748129676,0.32418952618453867,0.5660847880299252,0.5286783042394015
